;;0
1;37;1.195453061834683e-09
1;3;1.2010923014450779e-09
1;54;1.0381618495326614e-09
1;15;8.131313376967431e-14
1;7;2.4115050198137456e-13
1;42;5.51529315004753e-10
1;1;4.273136148172674e-09
1;55;3.221850013052688e-09
1;45;3.641761120378662e-09
1;47;5.59607083668171e-10
1;43;5.546574570805716e-10
1;48;5.5432751946081e-10
1;44;5.51652231219347e-10
1;2;2.7964975849720677e-09
1;52;2.9096124332549567e-09
1;56;3.221850013052688e-09
1;4;5.099474931169746e-10
1;8;8.600534076071884e-13
1;21;8.68343879255457e-14
1;49;7.114299452768858e-13
1;40;2.172739897510243e-09
1;51;7.669383413792483e-10
1;5;5.078392184331661e-10
1;53;7.01189771320826e-10
1;29;2.172580004220144e-09
1;61;2.172580004220144e-09
1;31;2.1719178452074237e-09
1;16;8.874099159673684e-14
1;32;2.1722104376610192e-09
1;33;2.1722940249076744e-09
1;19;2.172094080732773e-09
1;24;2.1726036966858612e-09
1;30;2.1727398975098196e-09
1;34;2.172739897510243e-09
1;58;3.221850013052688e-09
1;6;1.3005095443673942e-12
1;20;7.50836234787787e-14
1;27;2.175281012371093e-09
1;28;2.1752254809334227e-09
1;9;2.172418820355071e-09
1;35;4.273136148172674e-09
1;60;3.221850013052688e-09
1;46;6.910279344921775e-10
1;12;2.1722940249076744e-09
1;59;3.221850013052688e-09
1;13;6.262757424250798e-10
1;14;8.916128355637355e-14
1;10;2.175318618317316e-09
1;36;2.1744356552387144e-09
1;17;2.1725103788449866e-09
1;57;3.221850013052688e-09
1;38;4.273136148172674e-09
1;50;3.221850013052688e-09
1;11;2.1752699304251683e-09
1;25;2.1760940485672307e-09
1;41;2.173932379774046e-09
1;18;6.492599396420314e-14
1;22;6.497422291041484e-14
1;23;6.828900806925192e-10
1;39;2.1768552199983424e-09
1;26;2.1760940485672307e-09
2;37;6.958165066597613e-10
2;3;6.203204947398958e-09
2;54;4.249888212876037e-10
2;15;8.919647581270379e-14
2;7;1.960919803943373e-11
2;42;9.104517224831789e-10
2;1;4.566550086582216e-09
2;55;4.249888212876037e-10
2;45;4.86614668699069e-09
2;47;9.36626732462262e-10
2;43;9.273840715551023e-10
2;48;9.434407137064593e-10
2;44;9.231753278611097e-10
2;2;3.6714716445942118e-09
2;52;2.387302275922323e-09
2;56;4.0972703451313435e-09
