;;0
1;37;0.0
1;3;0.0
1;54;0.0
1;15;2.727389977331048e-16
1;7;0.0
1;42;0.0
1;1;0.0
1;55;0.0
1;45;0.0
1;47;0.0
1;43;0.0
1;48;0.0
1;44;0.0
1;2;2.7629215597056205e-14
1;52;1.1053433375776639e-17
1;56;0.0
1;4;0.0
1;8;0.0
1;21;0.0
1;49;0.0
1;40;0.0
1;51;1.0398819685820906e-17
1;5;0.0
1;53;0.0
1;29;0.0
1;61;0.0
1;31;0.0
1;16;2.7273899770831564e-16
1;32;0.0
1;33;0.0
1;19;0.0
1;24;0.0
1;30;0.0
1;34;0.0
1;58;0.0
1;6;0.0
1;20;0.0
1;27;0.0
1;28;0.0
1;9;0.0
1;35;0.0
1;60;0.0
1;46;0.0
1;12;0.0
1;59;0.0
1;13;5.158360274581648e-16
1;14;2.727389976645433e-16
1;10;0.0
1;36;0.0
1;17;0.0
1;57;0.0
1;38;0.0
1;50;0.0
1;11;0.0
1;25;0.0
1;41;0.0
1;18;0.0
1;22;0.0
1;23;0.0
1;39;0.0
1;26;0.0
2;37;0.0
2;3;1.5757787344797068e-16
2;54;0.0
2;15;2.7341699874526167e-16
2;7;1.4996739774873378e-16
2;42;3.5259846893430624e-16
2;1;0.0
2;55;0.0
2;45;0.0
2;47;1.0588297560545027e-17
2;43;2.1465429015239497e-16
2;48;1.0588297580588404e-17
2;44;3.52598468939052e-16
2;2;3.401736752625069e-14
2;52;1.12501908515504e-17
2;56;1.1010883824497849e-17
2;4;2.41321565562974e-16
2;8;2.0502830779072286e-16
2;21;2.732287897972463e-16
2;49;1.1443996694291111e-17
2;40;0.0
2;51;1.0876775640109033e-17
2;5;2.41321565562974e-16
2;53;0.0
2;29;0.0
2;61;0.0
2;31;0.0
2;16;2.731561437893957e-16
2;32;0.0
2;33;0.0
2;19;0.0
2;24;0.0
2;30;0.0
2;34;0.0
2;58;0.0
2;6;1.5102999234906725e-16
2;20;6.603630498815665e-16
2;27;0.0
2;28;0.0
2;9;0.0
2;35;0.0
2;60;0.0
2;46;0.0
2;12;0.0
2;59;0.0
2;13;1.2090628821964755e-14
2;14;2.7341699868548495e-16
2;10;0.0
2;36;0.0
2;17;0.0
2;57;0.0
2;38;0.0
2;50;0.0
2;11;0.0
2;25;0.0
2;41;0.0
2;18;0.0
2;22;0.0
2;23;0.0
2;39;0.0
2;26;0.0
3;37;0.0
3;3;1.573837381733929e-16
3;54;0.0
3;15;2.729469582462498e-16
3;7;1.4987733037330128e-16
3;42;3.522896710852132e-16
3;1;0.0
3;55;0.0
3;45;0.0
3;47;1.1148059471283085e-17
3;43;2.1489668249472075e-16
3;48;1.114805928480741e-17
3;44;3.522446811985506e-16
3;2;3.457890130047233e-14
3;52;1.1157170713559088e-17
3;56;1.1009674679328254e-17
3;4;2.410406739251805e-16
3;8;2.0442464091371572e-16
3;21;2.730082382579265e-16
3;49;1.0882818386301573e-17
3;40;0.0
3;51;1.0129936503872637e-17
