;;0
1;37;1.3718061864061222e-10
1;3;1.3724103191797218e-10
1;54;1.270369645261612e-10
1;15;4.745154335754243e-14
1;7;1.3975425709473873e-13
1;42;1.0158288251310166e-10
1;1;5.403027459391905e-10
1;55;5.216797809624209e-10
1;45;3.42229663498405e-10
1;47;1.0277609842971417e-10
1;43;1.009873687178305e-10
1;48;1.0193268833631652e-10
1;44;1.0036018172956541e-10
1;2;4.147273041154368e-10
1;52;4.3565446727870244e-10
1;56;5.216797809624209e-10
1;4;4.935552754183725e-11
1;8;1.7946974119223142e-13
1;21;5.12212806879659e-14
1;49;1.905809796796434e-13
1;40;2.8938960512448507e-10
1;51;1.2170083693580798e-10
1;5;4.975177701333973e-11
1;53;9.484738613106916e-11
1;29;2.9093085866760317e-10
1;61;2.9093085866760317e-10
1;31;2.9364065967252196e-10
1;16;5.171409759728259e-14
1;32;2.9397519000455583e-10
1;33;2.908421949760475e-10
1;19;2.9306563394744844e-10
1;24;2.9304738707814836e-10
1;30;2.9348962633326033e-10
1;34;2.8938960512448507e-10
1;58;5.216797809624209e-10
1;6;1.4711680396659968e-13
1;20;4.048223704250604e-14
1;27;2.931040620811571e-10
1;28;2.9310072075489997e-10
1;9;2.9305498342025885e-10
1;35;5.403027459391905e-10
1;60;5.216797809624209e-10
1;46;9.343393166462994e-11
1;12;2.908421949760475e-10
1;59;5.216797809624209e-10
1;13;1.4666207792332476e-10
1;14;5.219765293148566e-14
1;10;2.931064827157672e-10
1;36;2.930691186937477e-10
1;17;2.930510797613218e-10
1;57;5.216797809624209e-10
1;38;5.403027459391905e-10
1;50;5.216797809624209e-10
1;11;2.9310339400951623e-10
1;25;2.939268503811746e-10
1;41;2.93055956359598e-10
1;18;3.8249113830296313e-14
1;22;3.853934220029669e-14
1;23;9.167084541259882e-11
1;39;2.9322979640835383e-10
1;26;2.939268503811746e-10
2;37;1.9172940384433424e-10
2;3;6.490288959909921e-10
2;54;9.477312986989624e-11
2;15;5.0227741611028055e-14
2;7;2.054385423324852e-13
2;42;2.059003992947359e-10
2;1;6.125551179273047e-10
2;55;9.477312986989624e-11
2;45;6.318409820721052e-10
2;47;2.0610691325845253e-10
2;43;2.0630148609759909e-10
2;48;2.0642936747018593e-10
2;44;2.06106633250311e-10
2;2;2.612983949288475e-10
2;52;2.6058131866670565e-10
2;56;4.802464348353292e-10
2;4;1.7098898894736665e-10
2;8;2.1632702784487006e-13
2;21;4.850234791273795e-14
2;49;2.0157301212709466e-13
2;40;6.243436070631594e-10
2;51;2.0189734548762748e-10
2;5;1.681022479505564e-10
2;53;2.794279481276125e-10
2;29;6.303935874017541e-10
2;61;6.303935874017541e-10
2;31;6.379428151474873e-10
2;16;5.027956551271964e-14
2;32;6.24405249941853e-10
2;33;6.279766027094068e-10
2;19;6.296052018338921e-10
2;24;6.304610424119499e-10
2;30;6.243436070632124e-10
2;34;6.243436070631594e-10
2;58;9.477312986989624e-11
2;6;8.532566442443675e-13
2;20;3.875020207178343e-14
2;27;6.341428146403591e-10
2;28;6.340737906825231e-10
2;9;6.299940753626433e-10
2;35;6.125551179273047e-10
2;60;9.477312986989624e-11
2;46;2.733729889527531e-10
2;12;6.279766027094068e-10
2;59;9.477312986989624e-11
2;13;2.0034352499712393e-10
2;14;4.987491465162529e-14
2;10;6.341903717812682e-10
2;36;6.331362611581712e-10
2;17;6.302027611425536e-10
2;57;9.477312986989624e-11
2;38;6.125551179273047e-10
2;50;9.477312986989624e-11
2;11;6.341291236285042e-10
2;25;6.348386529213714e-10
2;41;6.325792551247467e-10
2;18;3.9246039790587914e-14
2;22;3.894500442160904e-14
2;23;2.709281786962841e-10
2;39;6.363133475572625e-10
2;26;6.348386529213714e-10
3;37;1.768735784912675e-10
3;3;1.3850328916189012e-10
3;54;1.0149035459435314e-10
3;15;5.2122270019746354e-14
3;7;1.1669339564078483e-12
3;42;1.8222652019053475e-10
3;1;9.72239212609427e-10
3;55;1.0149035459435314e-10
3;45;9.986203015236577e-10
3;47;1.8440152856329842e-10
3;43;1.8301650883314017e-10
3;48;1.8418201547565787e-10
3;44;1.8224815199766113e-10
3;2;3.056308418172996e-10
3;52;3.153845688522692e-10
3;56;1.3699435451477546e-10
3;4;1.804215848724624e-10
3;8;2.355354131803009e-13
3;21;5.216975041246225e-14
3;49;2.1769824094659985e-13
3;40;9.920856108426312e-10
3;51;3.0263303215450055e-10
3;5;1.8512163179918887e-10
3;53;3.959926243471878e-10
3;29;9.97399662280884e-10
3;61;9.97399662280884e-10
3;31;1.0032773749206563e-09
3;16;5.2107488796346743e-14
3;32;9.915319985799588e-10
3;33;9.95099350342864e-10
3;19;9.966578132430217e-10
3;24;9.974565008407932e-10
3;30;9.92085610842843e-10
3;34;9.920856108426312e-10
3;58;1.0149035459435314e-10
3;6;8.948699586885792e-12
3;20;4.25063879868979e-14
3;27;1.0002723546376103e-09
3;28;1.0002271443238778e-09
3;9;9.97044298269146e-10
3;35;9.72239212609427e-10
3;60;1.0149035459435314e-10
3;46;3.8683178754014344e-10
3;12;9.95099350342864e-10
3;59;1.0149035459435314e-10
3;13;2.8429503129976247e-10
3;14;5.2133950573114954e-14
3;10;1.000303404530928e-09
3;36;9.995903429289292e-10
3;17;9.972347205951157e-10
3;57;1.0149035459435314e-10
3;38;9.72239212609427e-10
3;50;1.0149035459435314e-10
3;11;1.0002634155634399e-09
3;25;1.0006880246354536e-09
3;41;9.99189047009103e-10
3;18;3.8980746131032655e-14
3;22;3.9034126421969966e-14
3;23;3.8533385553504385e-10
3;39;1.0014299875815655e-09
3;26;1.0006880246354536e-09
4;37;1.712306314108332e-10
4;3;1.4019031384688372e-10
4;54;9.769675425366137e-11
4;15;5.221399371928963e-14
4;7;1.2503860453549063e-12
4;42;1.8788579649789737e-10
4;1;1.003590803190632e-09
4;55;9.769675425366137e-11
4;45;1.031770314280423e-09
4;47;1.8884795843893258e-10
4;43;1.8805129072291092e-10
4;48;1.8852963405903418e-10
4;44;1.8750128329062367e-10
4;2;3.1883247327295295e-10
4;52;3.245195680630168e-10
4;56;1.380427477437099e-10
4;4;1.700785565157466e-10
4;8;2.606061782919909e-13
4;21;5.2452395953234954e-14
4;49;2.188304455825474e-13
4;40;1.0260574820802195e-09
4;51;3.078337695312407e-10
4;5;1.7080235620887165e-10
4;53;3.755289996459286e-10
4;29;1.0307207972209724e-09
4;61;1.0307207972209724e-09
4;31;1.0357528003887062e-09
4;16;5.2109994270555163e-14
4;32;1.025400675174296e-09
4;33;1.0287275419623758e-09
4;19;1.0300870160279292e-09
4;24;1.030769159201947e-09
4;30;1.0260574820801665e-09
4;34;1.0260574820802195e-09
4;58;9.769675425366137e-11
4;6;9.518864832327175e-12
4;20;4.266657447110797e-14
4;27;1.033221228001246e-09
4;28;1.0331819073789111e-09
4;9;1.0304187507676371e-09
4;35;1.003590803190632e-09
4;60;9.769675425366137e-11
4;46;3.6905401802028734e-10
4;12;1.0287275419623758e-09
4;59;9.769675425366137e-11
4;13;2.9796067297956904e-10
4;14;5.230579113118819e-14
4;10;1.033248206789945e-09
4;36;1.0326253634392817e-09
4;17;1.03058044378485e-09
4;57;9.769675425366137e-11
4;38;1.003590803190632e-09
4;50;9.769675425366137e-11
4;11;1.0332134585719497e-09
4;25;1.0335820680094668e-09
4;41;1.0322704734440687e-09
4;18;3.897276468049511e-14
4;22;3.906569256448407e-14
4;23;3.6796431010818076e-10
4;39;1.0342072877177868e-09
4;26;1.0335820680094668e-09
5;37;1.13385114745101e-10
5;3;0.0
5;54;7.573501076223945e-10
5;15;3.8509069328478414e-14
5;7;1.1359057648679759e-10
5;42;1.5312566250085565e-10
5;1;7.621886292440936e-10
5;55;7.573501076223945e-10
5;45;7.218441153346941e-10
5;47;1.502761222960132e-10
5;43;1.492345071379207e-10
5;48;1.5068204629815621e-10
5;44;1.5586424173793685e-10
5;2;9.78613131752624e-11
5;52;1.1915414338405522e-10
5;56;8.587875919057397e-11
5;4;1.1934780523143195e-10
5;8;3.325756235927817e-13
5;21;3.8062877539881886e-14
5;49;2.9291219875995354e-13
5;40;7.638200663609037e-10
5;51;1.259202968902873e-10
5;5;1.1962829213620175e-10
5;53;2.8278192092405463e-10
5;29;7.582888955527928e-10
5;61;7.582888955527928e-10
5;31;7.223253998047251e-10
5;16;3.8477761642246395e-14
5;32;7.231920490143631e-10
5;33;7.596510670641176e-10
5;19;7.217363942242413e-10
5;24;7.21780105385213e-10
5;30;7.215788706530724e-10
5;34;7.638200663609037e-10
5;58;7.573501076223945e-10
5;6;1.4694027261927659e-10
5;20;3.605120512934286e-14
5;27;7.219560185394045e-10
5;28;7.219523680211606e-10
5;9;7.217569671654462e-10
5;35;7.621886292440936e-10
5;60;7.573501076223945e-10
5;46;2.7774281520029904e-10
5;12;7.596510670641176e-10
5;59;7.573501076223945e-10
5;13;9.541111386647086e-11
5;14;3.840439530293288e-14
5;10;7.219585110447072e-10
5;36;7.21905024034981e-10
5;17;7.217674357985837e-10
5;57;7.573501076223945e-10
5;38;7.621886292440936e-10
5;50;7.573501076223945e-10
5;11;7.219553166354942e-10
5;25;7.560149403236818e-10
5;41;7.218783963733084e-10
5;18;3.940615953597916e-14
5;22;3.9236461019872294e-14
5;23;2.772553517369644e-10
5;39;7.220665496909772e-10
5;26;7.560149403236818e-10
6;37;1.1366120509307156e-10
6;3;0.0
6;54;3.3506503273108046e-10
6;15;5.045847131792152e-14
6;7;1.4354417072815538e-12
6;42;5.05476654772512e-11
6;1;3.221499937573059e-10
6;55;3.2272036303974523e-10
6;45;3.3389514230709163e-10
6;47;4.985678812115813e-11
6;43;5.000903638152424e-11
6;48;4.9458255543642677e-11
6;44;4.9468071687832386e-11
6;2;8.486806790894885e-11
6;52;9.140379943965822e-11
6;56;3.7628323044264914e-11
6;4;2.0546623596506582e-10
6;8;3.4307415475011177e-13
6;21;5.077461319495938e-14
6;49;4.142933569457453e-13
6;40;3.3454510653488063e-10
6;51;5.1190956345201975e-11
6;5;2.04148709736623e-10
6;53;1.1114954958421667e-10
6;29;3.3392324513151376e-10
6;61;3.3392324513151376e-10
6;31;3.3449496448023304e-10
6;16;5.0311745374480145e-14
6;32;3.3510058894973886e-10
6;33;3.3406612590182195e-10
6;19;3.3395852177858346e-10
6;24;3.3392099521342956e-10
6;30;3.345451065348277e-10
6;34;3.3454510653488063e-10
6;58;3.2272036303974523e-10
6;6;2.8608966606687713e-12
6;20;3.755444642556125e-14
6;27;3.339302617502197e-10
6;28;3.3392763114220355e-10
6;9;3.3393876335408095e-10
6;35;3.221499937573059e-10
6;60;3.2272036303974523e-10
6;46;1.0988104883662171e-10
6;12;3.3406612590182195e-10
6;59;3.2272036303974523e-10
6;13;4.58859213845024e-11
6;14;5.0533903673709855e-14
6;10;3.3393213281587757e-10
6;36;3.339023123127176e-10
