;;;0
1;41;1;0.2296232876712313
2;41;1;0.0
3;41;1;0.0
4;41;1;0.0
5;41;1;0.0
6;41;1;0.0
7;41;1;0.8125
8;41;1;0.37506249999999997
9;41;1;0.0
10;41;1;0.0
11;41;1;0.0
12;41;1;0.0
13;41;1;0.0
14;41;1;0.0
15;41;1;0.0
16;41;1;0.0
17;41;1;0.0
18;41;1;0.0
19;41;1;0.24064469178082193
20;41;1;0.3116138698630118
21;41;1;0.0
22;41;1;0.0
23;41;1;0.0
24;41;1;0.0
25;41;1;0.0
26;41;1;0.0
27;41;1;0.0
28;41;1;0.0
29;41;1;0.5726027397260274
30;41;1;0.0
31;41;1;0.3030821917808221
32;41;1;0.0
33;41;1;0.0
34;41;1;0.0
35;41;1;0.7765410958904111
36;41;1;0.0
37;41;1;0.0
38;41;1;0.23784246575342205
39;41;1;0.8335616438356159
40;41;1;0.0
41;41;1;0.29212328767123286
42;41;1;0.0
43;41;1;0.0
44;41;1;0.0
45;41;1;0.22962328767123286
46;41;1;0.3085616438356159
47;41;1;0.0
48;41;1;0.0
49;41;1;0.30308219178082185
50;41;1;0.29212328767123286
51;41;1;0.6976027397260258
52;41;1;0.0
53;41;1;0.0
54;41;1;0.3655821917808221
55;41;1;0.0
56;41;1;0.0
57;41;1;0.23784246575342205
58;41;1;0.0
59;41;1;0.0
1;42;1;0.2296232876712313
2;42;1;0.0
3;42;1;0.0
4;42;1;0.0
5;42;1;0.0
6;42;1;0.0
7;42;1;0.8125
8;42;1;0.0
9;42;1;0.0
10;42;1;0.0
11;42;1;0.0
12;42;1;0.0
13;42;1;0.0
14;42;1;0.0
15;42;1;0.0
16;42;1;0.0
17;42;1;0.0
18;42;1;0.0
19;42;1;0.25154109589041085
20;42;1;0.308161815068482
21;42;1;0.0
22;42;1;0.0
23;42;1;0.0
24;42;1;0.0
25;42;1;0.0
26;42;1;0.0
27;42;1;0.0
28;42;1;0.0
29;42;1;0.7601027397260274
30;42;1;0.0
31;42;1;0.2976027397260276
32;42;1;0.0
33;42;1;0.0
34;42;1;0.0
35;42;1;0.7710616438356166
36;42;1;0.0
37;42;1;0.0
38;42;1;0.23784246575342205
39;42;1;0.8335616438356159
40;42;1;0.0
41;42;1;0.29212328767123286
42;42;1;0.0
43;42;1;0.0
44;42;1;0.0
45;42;1;0.23510273972602735
46;42;1;0.3085616438356159
47;42;1;0.0
48;42;1;0.0
49;42;1;0.30856164383561635
50;42;1;0.2921232876712362
51;42;1;0.6976027397260276
52;42;1;0.0
53;42;1;0.0
54;42;1;0.3601027397260276
55;42;1;0.0
56;42;1;0.0
57;42;1;0.23784246575342205
58;42;1;0.0
59;42;1;0.0
1;43;1;0.2351027397260258
2;43;1;0.0
3;43;1;0.0
4;43;1;0.0
5;43;1;0.0
6;43;1;0.0
7;43;1;0.8125
8;43;1;0.0
9;43;1;0.0
10;43;1;0.0
11;43;1;0.0
12;43;1;0.0
13;43;1;0.0
14;43;1;0.0
15;43;1;0.0
16;43;1;0.0
17;43;1;0.0
18;43;1;0.0
19;43;1;0.2875299657534237
20;43;1;0.30822431506847947
21;43;1;0.0
22;43;1;0.0
23;43;1;0.0
24;43;1;0.0
25;43;1;0.0
26;43;1;0.0
27;43;1;0.0
28;43;1;0.0
29;43;1;0.7601027397260274
30;43;1;0.0
31;43;1;0.3085616438356159
32;43;1;0.0
33;43;1;0.0
34;43;1;0.0
35;43;1;0.7765410958904104
36;43;1;0.0
37;43;1;0.0
38;43;1;0.23784246575342205
39;43;1;0.8335616438356159
40;43;1;0.0
41;43;1;0.29212328767123286
42;43;1;0.0
43;43;1;0.0
44;43;1;0.0
45;43;1;0.23510273972602735
46;43;1;0.3085616438356159
47;43;1;0.0
48;43;1;0.0
49;43;1;0.30550941780821816
50;43;1;0.2976027397260278
51;43;1;0.6976027397260278
52;43;1;0.0
53;43;1;0.0
54;43;1;0.3710616438356159
55;43;1;0.0
56;43;1;0.0
57;43;1;0.23236301369862755
58;43;1;0.0
59;43;1;0.0
1;44;1;0.2351027397260258
2;44;1;0.0
3;44;1;0.0
4;44;1;0.0
5;44;1;0.0
6;44;1;0.0
7;44;1;0.8125
8;44;1;0.0
9;44;1;0.0
10;44;1;0.0
11;44;1;0.0
12;44;1;0.0
13;44;1;0.0
14;44;1;0.0
15;44;1;0.0
16;44;1;0.0
17;44;1;0.0
18;44;1;0.0
19;44;1;0.2570205479452057
20;44;1;0.3093364726027512
21;44;1;0.0
22;44;1;0.0
23;44;1;0.0
24;44;1;0.0
25;44;1;0.0
26;44;1;0.0
27;44;1;0.0
28;44;1;0.0
29;44;1;0.7601027397260274
30;44;1;0.0
31;44;1;0.31404109589041107
32;44;1;0.0
33;44;1;0.0
34;44;1;0.0
35;44;1;0.7765410958904111
36;44;1;0.0
37;44;1;0.0
38;44;1;0.23236301369863732
39;44;1;0.8335616438356159
40;44;1;0.0
41;44;1;0.28664383561643836
42;44;1;0.0
43;44;1;0.0
44;44;1;0.0
45;44;1;0.22962328767123286
46;44;1;0.3085616438356159
47;44;1;0.0
48;44;1;0.0
49;44;1;0.305821917808219
50;44;1;0.29212328767123996
51;44;1;0.6976027397260345
52;44;1;0.0
53;44;1;0.0
54;44;1;0.37654109589041107
55;44;1;0.0
56;44;1;0.0
57;44;1;0.23236301369863732
58;44;1;0.0
59;44;1;0.0
1;45;1;0.34914383561643836
2;45;1;0.0
3;45;1;0.0
4;45;1;0.0
5;45;1;0.0
6;45;1;0.0
7;45;1;0.9375
8;45;1;0.0
9;45;1;0.0
10;45;1;0.0
11;45;1;0.0
12;45;1;0.0
13;45;1;0.0
14;45;1;0.0
15;45;1;0.0
16;45;1;0.0
17;45;1;0.0
18;45;1;0.0
19;45;1;0.279623287671233
