;;0
1;37;6.443036733746278e-18
1;3;5.2919431380147045e-18
1;54;3.669054522483947e-19
1;15;9.080526878241967e-18
1;7;5.099978417449599e-18
1;42;1.1573832622955025e-17
1;1;2.550911014515467e-18
1;55;5.2387849679295346e-20
1;45;7.700725520218638e-18
1;47;3.66482250862675e-19
1;43;7.092710570815203e-18
1;48;3.6648804730127856e-19
1;44;1.1595509059415555e-17
1;2;6.078202747430858e-17
1;52;3.661978015722435e-19
1;56;5.2387849679295346e-20
1;4;8.027757027070259e-18
1;8;6.9077255341696315e-18
1;21;9.053258567843363e-18
1;49;3.6625895145094314e-19
1;40;3.937468296795153e-17
1;51;3.677493704751481e-19
1;5;8.02962404341654e-18
1;53;3.66696993994833e-19
1;29;1.0238745724060886e-17
1;61;1.0238745724060886e-17
1;31;1.2586743224248728e-18
1;16;9.1190378031776e-18
1;32;8.339147211521504e-17
1;33;1.7158562767611132e-17
1;19;1.2109633858432462e-17
1;24;1.0051306213107931e-17
1;30;3.809116795505834e-17
1;34;3.937468296795153e-17
1;58;5.2387849679295346e-20
1;6;5.09202056447167e-18
1;20;2.2690269664241403e-17
1;27;4.98210603765023e-18
1;28;5.0507644945770286e-18
1;9;1.1084592665032597e-17
1;35;2.550911014515467e-18
1;60;5.2387849679295346e-20
1;46;1.1204347876510166e-17
1;12;1.7158562767611132e-17
1;59;5.2387849679295346e-20
1;13;8.03499634769721e-18
1;14;9.095340614341346e-18
1;10;4.935145542727353e-18
1;36;6.051562719157673e-18
1;17;1.0603698142466011e-17
1;57;5.2387849679295346e-20
1;38;2.550911014515467e-18
1;50;5.2387849679295346e-20
1;11;4.995687887603916e-18
1;25;4.370076416949292e-18
1;41;6.717076397758945e-18
1;18;1.8375446635028755e-17
1;22;1.834748599949589e-17
1;23;1.4822650630961746e-17
1;39;3.3452303979172337e-18
1;26;4.370076416949292e-18
2;37;6.380029204779211e-18
2;3;5.277005071188096e-18
2;54;5.23817185800958e-20
2;15;9.181517072442918e-18
2;7;5.119980003519479e-18
2;42;1.1470630248836757e-17
2;1;2.549060993861844e-18
2;55;5.23817185800958e-20
2;45;7.753375606491609e-18
2;47;3.663984022156832e-19
2;43;7.058973201284277e-18
2;48;3.6640385412283627e-19
2;44;1.1489006112561199e-17
2;2;1.8188712156770644e-16
2;52;3.6590384115750427e-19
2;56;3.6680291584312333e-19
2;4;8.05110964035713e-18
2;8;6.936763663831995e-18
2;21;9.204187295358306e-18
2;49;3.681564233748447e-19
2;40;3.943199180199375e-17
2;51;3.651402316433659e-19
2;5;8.05601050687262e-18
2;53;3.667355376674181e-19
2;29;1.0227323748382894e-17
2;61;1.0227323748382894e-17
2;31;1.2596626446782796e-18
2;16;9.180619707287412e-18
2;32;9.019434949998288e-17
2;33;1.7116673917252492e-17
2;19;1.2222958839204085e-17
2;24;1.0129570435653274e-17
2;30;3.95956402780917e-17
2;34;3.943199180199375e-17
2;58;5.23817185800958e-20
2;6;5.0996441237373384e-18
2;20;2.3675277256553664e-17
2;27;5.0012436757151925e-18
2;28;5.070476910306963e-18
2;9;1.1179420948662453e-17
2;35;2.549060993861844e-18
2;60;5.23817185800958e-20
2;46;1.1160976170705664e-17
2;12;1.7116673917252492e-17
2;59;5.23817185800958e-20
2;13;8.770801255263118e-17
2;14;9.18001732834651e-18
2;10;4.953895092444539e-18
2;36;6.0806782405311136e-18
2;17;1.069056511612908e-17
2;57;5.23817185800958e-20
2;38;2.549060993861844e-18
2;50;5.23817185800958e-20
2;11;5.014938470244438e-18
2;25;4.370000430102457e-18
2;41;6.753548776062301e-18
2;18;1.861458480568668e-17
2;22;1.8625308168879624e-17
2;23;1.4717450963444537e-17
2;39;3.3532923548142367e-18
2;26;4.370000430102457e-18
3;37;6.380773695451822e-18
3;3;5.2480009509988414e-18
3;54;5.2319374838921845e-20
3;15;9.111884362241772e-18
3;7;5.135504800980591e-18
3;42;1.138899503752903e-17
3;1;2.5488390754752244e-18
3;55;5.2319374838921845e-20
3;45;7.752159059310767e-18
3;47;3.655707218688186e-19
3;43;7.028565790496115e-18
3;48;3.655761229192924e-19
3;44;1.1405595764805308e-17
3;2;1.851681648425798e-16
3;52;3.6335894020521767e-19
3;56;3.663064537356237e-19
3;4;8.130612997378264e-18
3;8;6.9173118206288595e-18
3;21;9.102709282006015e-18
3;49;3.6259670846519717e-19
3;40;3.941430458964994e-17
3;51;3.638336888904659e-19
3;5;8.132231066356917e-18
3;53;3.6652232658266507e-19
3;29;1.0228557461377404e-17
3;61;1.0228557461377404e-17
3;31;1.2595727033271459e-18
3;16;9.122656567421608e-18
3;32;8.976785906350562e-17
3;33;1.7121798230683046e-17
3;19;1.222014744814147e-17
3;24;1.0127435668082847e-17
3;30;3.9519674026824464e-17
3;34;3.941430458964994e-17
3;58;5.2319374838921845e-20
3;6;5.110913767476258e-18
3;20;2.318853955948405e-17
3;27;5.00003600928903e-18
3;28;5.069239810219039e-18
3;9;1.117668906247601e-17
3;35;2.5488390754752244e-18
3;60;5.2319374838921845e-20
3;46;1.1155328118440544e-17
3;12;1.7121798230683046e-17
3;59;5.2319374838921845e-20
3;13;5.639499633349521e-17
3;14;9.10498227867046e-18
3;10;4.952707863313161e-18
3;36;6.0789936367368066e-18
3;17;1.0688127926582179e-17
3;57;5.2319374838921845e-20
3;38;2.5488390754752244e-18
3;50;5.2319374838921845e-20
3;11;5.013725063620623e-18
3;25;4.369194653461941e-18
3;41;6.751517617850775e-18
3;18;1.8553965811630933e-17
3;22;1.856078985811065e-17
3;23;1.4739986102851923e-17
3;39;3.352719040607728e-18
3;26;4.369194653461941e-18
4;37;6.381099309845036e-18
4;3;5.246672954305039e-18
4;54;5.236965720941998e-20
4;15;9.101364242033886e-18
4;7;5.103198257035732e-18
4;42;1.1392212281147473e-17
4;1;2.548879560713552e-18
4;55;5.236965720941998e-20
4;45;7.752315568015898e-18
4;47;3.661407605937499e-19
4;43;7.024428961111065e-18
4;48;3.66144097796544e-19
4;44;1.13861248455634e-17
4;2;1.7154241494164479e-16
4;52;3.640553953503922e-19
4;56;3.6664238904484716e-19
4;4;8.018709233397511e-18
4;8;6.930798840052762e-18
4;21;9.098258346936853e-18
4;49;3.665620094223635e-19
4;40;3.9417849768215065e-17
4;51;3.6454060884121075e-19
4;5;8.022002074634086e-18
4;53;3.6671388857948524e-19
4;29;1.0228849864733607e-17
4;61;1.0228849864733607e-17
4;31;1.2595907853925004e-18
4;16;9.11065289489129e-18
4;32;8.97706510741743e-17
4;33;1.712248069400523e-17
4;19;1.2220440946406633e-17
4;24;1.0127679401237664e-17
4;30;3.952045782377279e-17
4;34;3.9417849768215065e-17
4;58;5.236965720941998e-20
4;6;5.0761218648296934e-18
4;20;2.3160857281097813e-17
4;27;5.0001119740793145e-18
4;28;5.069317088741198e-18
4;9;1.1176977770307595e-17
4;35;2.548879560713552e-18
4;60;5.236965720941998e-20
4;46;1.1169518890901631e-17
4;12;1.712248069400523e-17
4;59;5.236965720941998e-20
4;13;6.250893987391606e-17
4;14;9.094118698360932e-18
4;10;4.952782338823986e-18
4;36;6.079094979146124e-18
4;17;1.068839629851995e-17
4;57;5.236965720941998e-20
4;38;2.548879560713552e-18
4;50;5.236965720941998e-20
4;11;5.01380122616177e-18
4;25;4.369283174354038e-18
4;41;6.751636583809512e-18
4;18;1.8531676973145855e-17
4;22;1.8533091164431432e-17
4;23;1.4773218874567106e-17
4;39;3.352763670194532e-18
4;26;4.369283174354038e-18
5;37;6.368400593300349e-18
5;3;5.2406810228559214e-18
5;54;5.238920311543431e-20
5;15;9.301802027679437e-18
5;7;5.00377197400608e-18
5;42;1.144609770194221e-17
5;1;2.5492318675105402e-18
5;55;5.238920311543431e-20
5;45;7.7032426691313e-18
5;47;3.6670732813284205e-19
5;43;7.030160208412721e-18
5;48;3.667087000403493e-19
5;44;1.1430632269809357e-17
5;2;1.1653041441542672e-16
5;52;3.6631500962831055e-19
5;56;3.667400386435242e-19
5;4;8.024808584236463e-18
5;8;6.962373665494247e-18
5;21;9.312994331821798e-18
5;49;3.6725874937161766e-19
5;40;3.953725126625936e-17
5;51;3.664823216493334e-19
5;5;8.025983810081606e-18
5;53;3.667355449061537e-19
5;29;1.0270577802072552e-17
5;61;1.0270577802072552e-17
5;31;1.258642434876764e-18
5;16;9.30314500874827e-18
5;32;8.249677212515484e-17
5;33;1.7213389803748287e-17
5;19;1.2101467848339353e-17
5;24;1.0046335110857149e-17
5;30;3.793850175658602e-17
5;34;3.953725126625936e-17
5;58;5.238920311543431e-20
5;6;4.983740660832381e-18
5;20;2.3256088368343988e-17
5;27;4.981276582352524e-18
5;28;5.049907219485766e-18
5;9;1.1078145734766064e-17
5;35;2.5492318675105402e-18
5;60;5.238920311543431e-20
