;;;;;0
1;1;9;1;1;0.0
1;1;10;1;1;0.0
1;1;11;1;1;0.0
1;1;12;1;1;0.0
1;1;13;1;1;0.0
1;1;14;1;1;0.0
1;1;15;1;1;0.0
1;1;16;1;1;0.0
1;1;17;1;1;0.0
1;1;18;1;1;0.0
1;1;19;1;1;0.0
1;1;20;1;1;0.0
1;1;21;1;1;0.0
1;1;22;1;1;0.0
1;1;23;1;1;0.0
1;1;24;1;1;0.0
1;1;25;1;1;0.0
1;1;26;1;1;0.0
1;1;27;1;1;0.0
1;1;28;1;1;0.0
1;1;29;1;1;0.0
1;1;30;1;1;0.0
1;1;31;1;1;0.0
1;1;32;1;1;0.0
1;1;33;1;1;0.0
1;1;34;1;1;0.0
1;1;35;1;1;0.0
1;1;36;1;1;0.0
1;1;37;1;1;0.0
1;1;38;1;1;0.0
1;1;39;1;1;0.0
1;1;40;1;1;0.0
1;1;41;1;1;0.00026919168252061013
1;1;42;1;1;0.0
1;1;43;1;1;0.0
1;1;44;1;1;0.0
1;1;45;1;1;0.0
1;1;46;1;1;0.0
1;1;47;1;1;0.0
1;1;48;1;1;0.0
1;1;49;1;1;0.0
1;1;50;1;1;0.0
1;1;51;1;1;0.0
1;1;52;1;1;0.0
1;1;53;1;1;0.0
1;1;54;1;1;0.0
1;1;55;1;1;0.0
1;1;56;1;1;0.0
1;1;57;1;1;0.0003198624879009379
1;1;58;1;1;0.0
1;1;59;1;1;0.0
1;1;60;1;1;0.0
1;1;61;1;1;0.0
1;1;62;1;1;0.0
1;1;63;1;1;0.0
1;1;64;1;1;0.0
1;1;65;1;1;0.0
1;1;66;1;1;0.0
1;1;67;1;1;0.0
1;1;68;1;1;0.0
1;1;69;1;1;0.0
1;1;70;1;1;0.0
1;1;71;1;1;0.0
1;1;72;1;1;0.0
1;1;73;1;1;0.0
1;1;74;1;1;0.0
1;1;75;1;1;0.0
1;1;76;1;1;0.0
1;1;77;1;1;0.0
1;1;78;1;1;0.0
1;1;79;1;1;0.0
1;1;80;1;1;0.0
1;1;81;1;1;0.0002496784486499116
1;1;82;1;1;0.0
1;1;83;1;1;0.0
1;1;84;1;1;0.0
1;1;85;1;1;0.0
1;1;86;1;1;0.0
1;1;87;1;1;0.0
1;1;88;1;1;0.0
1;1;89;1;1;0.0
1;1;90;1;1;0.0
1;1;91;1;1;0.0
1;1;92;1;1;0.0
1;1;93;1;1;0.0
1;1;94;1;1;0.0
1;1;95;1;1;0.0
1;1;96;1;1;0.0
1;1;97;1;1;0.00024943933780581425
1;1;98;1;1;0.0
1;1;99;1;1;0.0
1;1;100;1;1;0.0
1;1;101;1;1;0.0
1;1;102;1;1;0.0
1;1;103;1;1;0.0
1;1;104;1;1;0.0
1;1;105;1;1;0.0
1;1;106;1;1;0.0
1;1;107;1;1;0.0
1;1;108;1;1;0.0
1;1;109;1;1;0.0
1;1;110;1;1;0.0
1;1;111;1;1;0.0
1;1;112;1;1;0.0
1;1;113;1;1;0.0
1;1;114;1;1;0.0
1;1;115;1;1;0.0
1;1;116;1;1;0.0
1;1;117;1;1;0.0
1;1;118;1;1;0.0
1;1;119;1;1;0.0
1;1;120;1;1;0.0
1;1;121;1;1;0.0
1;1;122;1;1;0.0
1;1;123;1;1;0.0
1;1;124;1;1;0.0
1;1;125;1;1;0.0
1;1;126;1;1;0.0
1;1;127;1;1;0.0
1;1;128;1;1;0.0
1;1;129;1;1;0.0
1;1;130;1;1;0.0
1;1;131;1;1;0.0
1;1;132;1;1;0.0
1;1;133;1;1;0.0
1;1;134;1;1;0.0
1;1;135;1;1;0.0
1;1;136;1;1;0.0
1;1;137;1;1;0.0
1;1;138;1;1;0.0
1;1;139;1;1;0.0
1;1;140;1;1;0.0
1;1;141;1;1;0.0
1;1;142;1;1;0.0
1;1;143;1;1;0.0
1;1;144;1;1;0.0
1;1;145;1;1;0.0
1;1;146;1;1;0.0
1;1;147;1;1;0.0
1;1;148;1;1;0.0
1;1;149;1;1;0.0
1;1;150;1;1;0.0
1;1;151;1;1;0.0
1;1;152;1;1;0.0
1;1;153;1;1;0.0002128003738192984
1;1;154;1;1;0.0
1;1;155;1;1;0.0
1;1;156;1;1;0.0
1;1;157;1;1;0.0
1;1;158;1;1;0.0
1;1;159;1;1;0.0
1;1;160;1;1;0.0
1;1;161;1;1;0.0
1;1;162;1;1;0.0
1;1;163;1;1;0.0
1;1;164;1;1;0.0
1;1;165;1;1;0.0
1;1;166;1;1;0.0
1;1;167;1;1;0.0
1;1;168;1;1;0.0
1;2;9;1;1;0.0
1;2;10;1;1;0.0
1;2;11;1;1;0.0
1;2;12;1;1;0.0
1;2;13;1;1;0.0
1;2;14;1;1;0.0
1;2;15;1;1;0.0
1;2;16;1;1;0.0
1;2;17;1;1;0.0
1;2;18;1;1;0.0
1;2;19;1;1;0.0
1;2;20;1;1;0.0
1;2;21;1;1;0.0
1;2;22;1;1;0.0
1;2;23;1;1;0.0
1;2;24;1;1;0.0
1;2;25;1;1;0.0
1;2;26;1;1;0.0
1;2;27;1;1;0.0
1;2;28;1;1;0.0
1;2;29;1;1;0.0
1;2;30;1;1;0.0
1;2;31;1;1;0.0
1;2;32;1;1;0.0
1;2;33;1;1;0.0
1;2;34;1;1;0.0
1;2;35;1;1;0.0
1;2;36;1;1;0.0
1;2;37;1;1;0.0
1;2;38;1;1;0.0
1;2;39;1;1;0.0
1;2;40;1;1;0.0
1;2;41;1;1;0.00021685177397283136
1;2;42;1;1;0.00025233897399953273
1;2;43;1;1;0.0003950262007276126
1;2;44;1;1;0.00037907266112613067
1;2;45;1;1;0.0
1;2;46;1;1;0.0002867457027469043
1;2;47;1;1;0.0003720439237675645
1;2;48;1;1;0.00033387029805413704
1;2;49;1;1;0.0003334918060144855
1;2;50;1;1;0.0002741369113180468
1;2;51;1;1;0.0002016545509161911
1;2;52;1;1;0.00032215677245908556
1;2;53;1;1;0.0002574907379593472
1;2;54;1;1;0.00030458275758486037
1;2;55;1;1;0.0003385523847668636
1;2;56;1;1;0.00038755970699402083
1;2;57;1;1;0.00021172804646039855
1;2;58;1;1;0.00031984192783952474
1;2;59;1;1;0.0003003105370314742
1;2;60;1;1;0.0003248473682453857
1;2;61;1;1;0.00027072287306832216
1;2;62;1;1;0.00037215700410533697
1;2;63;1;1;0.00039565848936951373
1;2;64;1;1;0.00027708995026868265
1;2;65;1;1;0.00022256600246987752
1;2;66;1;1;0.00023418751043022599
1;2;67;1;1;0.0002256775141016655
1;2;68;1;1;0.00020059624178098194
1;2;69;1;1;0.0003075797203030607
1;2;70;1;1;0.00021532619071459565
1;2;71;1;1;0.00026780708254063617
1;2;72;1;1;0.0002067163312305998
1;2;73;1;1;0.0002874873335335937
1;2;74;1;1;0.0003633956142985882
1;2;75;1;1;0.00020301511965555222
1;2;76;1;1;0.00037468175294549586
1;2;77;1;1;0.0003319950602449852
1;2;78;1;1;0.00021673001568705988
1;2;79;1;1;0.0002759243015920697
1;2;80;1;1;0.00033666379626848237
1;2;81;1;1;0.00032519502019291745
1;2;82;1;1;0.00029686218751043026
1;2;83;1;1;0.00037341530656520144
1;2;84;1;1;0.00031207756750442243
1;2;85;1;1;0.0003905016521477921
1;2;86;1;1;0.0002444416407997063
1;2;87;1;1;0.00020884136043523247
1;2;88;1;1;0.00029942124762190846
1;2;89;1;1;0.0003583575982110077
1;2;90;1;1;0.00028798397917292483
1;2;91;1;1;0.00032242181502620075
1;2;92;1;1;0.0003660536030172558
1;2;93;1;1;0.0003441580721604753
1;2;94;1;1;0.0003085884983812289
